surrogate key,date,month,year
615,2021-11-03,11,2021
616,2021-11-04,11,2021
617,2021-11-05,11,2021
618,2021-11-06,11,2021
619,2021-11-07,11,2021
620,2021-11-08,11,2021
621,2021-11-09,11,2021
622,2021-11-11,11,2021
623,2021-11-12,11,2021
624,2021-11-13,11,2021
625,2021-11-14,11,2021
626,2021-11-15,11,2021
627,2021-11-16,11,2021
628,2021-11-18,11,2021
629,2021-11-21,11,2021
630,2021-11-21,11,2021
631,2021-11-21,11,2021
632,2021-11-22,11,2021
633,2021-11-23,11,2021
634,2021-11-23,11,2021
635,2021-11-23,11,2021
636,2021-11-24,11,2021
637,2021-11-24,11,2021
638,2021-11-24,11,2021
639,2021-11-25,11,2021
640,2021-11-26,11,2021
641,2021-11-27,11,2021
642,2021-11-27,11,2021
643,2021-11-28,11,2021
644,2021-11-28,11,2021
645,2021-11-29,11,2021
646,2021-12-01,12,2021
647,2021-12-01,12,2021
648,2021-12-02,12,2021
649,2021-12-03,12,2021
650,2021-12-05,12,2021
651,2021-12-06,12,2021
652,2021-12-07,12,2021
653,2021-12-07,12,2021
654,2021-12-07,12,2021
655,2021-12-08,12,2021
656,2021-12-10,12,2021
657,2021-12-11,12,2021
658,2021-12-16,12,2021
659,2021-12-20,12,2021
660,2021-12-20,12,2021
661,2021-12-21,12,2021
662,2021-12-29,12,2021
663,2021-12-29,12,2021
664,2022-01-01,1,2022
665,2022-01-03,1,2022
666,2022-01-04,1,2022
667,2022-01-05,1,2022
668,2022-01-07,1,2022
669,2022-01-09,1,2022
670,2022-01-09,1,2022
671,2022-01-10,1,2022
672,2022-01-10,1,2022
673,2022-01-11,1,2022
674,2022-01-13,1,2022
675,2022-01-13,1,2022
676,2022-01-15,1,2022
677,2022-01-15,1,2022
678,2022-01-18,1,2022
679,2022-01-19,1,2022
680,2022-01-19,1,2022
681,2022-01-19,1,2022
682,2022-01-20,1,2022
683,2022-01-20,1,2022
684,2022-01-21,1,2022
685,2022-01-22,1,2022
686,2022-01-22,1,2022
687,2022-01-22,1,2022
688,2022-01-23,1,2022
689,2022-01-23,1,2022
690,2022-01-24,1,2022
691,2022-01-24,1,2022
692,2022-01-25,1,2022
693,2022-01-27,1,2022
694,2022-01-28,1,2022
695,2022-01-30,1,2022
696,2022-01-30,1,2022
697,2022-01-31,1,2022
698,2022-02-01,2,2022
699,2022-02-01,2,2022
700,2022-02-02,2,2022
701,2022-02-05,2,2022
702,2022-02-05,2,2022
703,2022-02-08,2,2022
704,2022-02-08,2,2022
705,2022-02-09,2,2022
706,2022-02-11,2,2022
707,2022-02-11,2,2022
708,2022-02-13,2,2022
709,2022-02-15,2,2022
710,2022-02-16,2,2022
711,2022-02-16,2,2022
712,2022-02-19,2,2022
713,2022-02-20,2,2022
714,2022-02-21,2,2022
715,2022-02-22,2,2022
716,2022-02-22,2,2022
717,2022-02-22,2,2022
718,2022-02-23,2,2022
719,2022-02-24,2,2022
720,2022-02-25,2,2022
721,2022-02-26,2,2022
722,2022-03-05,3,2022
723,2022-03-05,3,2022
724,2022-03-07,3,2022
725,2022-03-08,3,2022
726,2022-03-09,3,2022
727,2022-03-12,3,2022
